service_id,date,exception_type
hjan2501-Weekday-6-JA2025-1111100,20250610,1
hjan2501-Weekday-6-JA2025-1111100,20250611,1
hjan2501-Weekday-6-JA2025-1111100,20250612,1
hjan2501-Weekday-6-JA2025-1111100,20250613,1
hjan2501-Weekday-6-JA2025-1111100,20250616,1
hjan2501-Weekday-6-JA2025-1111100,20250617,1
hjan2501-Weekday-6-JA2025-1111100,20250618,1
hjan2501-Weekday-6-JA2025-1111100,20250620,1
hjan2506-Saturday-1-JA2025-0000010,20250118,1
hjan2506-Saturday-1-JA2025-0000010,20250125,1
hjan2506-Saturday-1-JA2025-0000010,20250201,1
hjan2506-Saturday-1-JA2025-0000010,20250208,1
hjan2506-Saturday-1-JA2025-0000010,20250215,1
hjan2506-Saturday-1-JA2025-0000010,20250222,1
hjan2506-Saturday-1-JA2025-0000010,20250301,1
hjan2506-Saturday-1-JA2025-0000010,20250308,1
hjan2506-Saturday-1-JA2025-0000010,20250315,1
hjan2506-Saturday-1-JA2025-0000010,20250322,1
hjan2506-Saturday-1-JA2025-0000010,20250329,1
hjan2506-Saturday-1-JA2025-0000010,20250405,1
hjan2506-Saturday-1-JA2025-0000010,20250412,1
hjan2506-Saturday-1-JA2025-0000010,20250419,1
hjan2506-Saturday-1-JA2025-0000010,20250426,1
hjan2506-Saturday-1-JA2025-0000010,20250503,1
hjan2506-Saturday-1-JA2025-0000010,20250510,1
hjan2506-Saturday-1-JA2025-0000010,20250517,1
hjan2506-Saturday-1-JA2025-0000010,20250524,1
hjan2506-Saturday-1-JA2025-0000010,20250531,1
hjan2506-Saturday-1-JA2025-0000010,20250607,1
hjan2506-Saturday-1-JA2025-0000010,20250614,1
hjan2507-Sunday-1-JA2025-0000001,20250119,1
hjan2507-Sunday-1-JA2025-0000001,20250120,1
hjan2507-Sunday-1-JA2025-0000001,20250126,1
hjan2507-Sunday-1-JA2025-0000001,20250202,1
hjan2507-Sunday-1-JA2025-0000001,20250209,1
hjan2507-Sunday-1-JA2025-0000001,20250216,1
hjan2507-Sunday-1-JA2025-0000001,20250223,1
hjan2507-Sunday-1-JA2025-0000001,20250302,1
hjan2507-Sunday-1-JA2025-0000001,20250309,1
hjan2507-Sunday-1-JA2025-0000001,20250316,1
hjan2507-Sunday-1-JA2025-0000001,20250323,1
hjan2507-Sunday-1-JA2025-0000001,20250330,1
hjan2507-Sunday-1-JA2025-0000001,20250406,1
hjan2507-Sunday-1-JA2025-0000001,20250413,1
hjan2507-Sunday-1-JA2025-0000001,20250420,1
hjan2507-Sunday-1-JA2025-0000001,20250427,1
hjan2507-Sunday-1-JA2025-0000001,20250504,1
hjan2507-Sunday-1-JA2025-0000001,20250511,1
hjan2507-Sunday-1-JA2025-0000001,20250518,1
hjan2507-Sunday-1-JA2025-0000001,20250525,1
hjan2507-Sunday-1-JA2025-0000001,20250526,1
hjan2507-Sunday-1-JA2025-0000001,20250601,1
hjan2507-Sunday-1-JA2025-0000001,20250608,1
hjan2507-Sunday-1-JA2025-0000001,20250615,1
hjan2507-Sunday-1-JA2025-0000001,20250619,1
hjat2501-Weekday-1-JA2025-0001000,20250123,1
hjat2501-Weekday-1-JA2025-0001000,20250130,1
hjat2501-Weekday-1-JA2025-0001000,20250206,1
hjat2501-Weekday-1-JA2025-0001000,20250213,1
hjat2501-Weekday-1-JA2025-0001000,20250220,1
hjat2501-Weekday-1-JA2025-0001000,20250227,1
hjat2501-Weekday-1-JA2025-0001000,20250306,1
hjat2501-Weekday-1-JA2025-0001000,20250313,1
hjat2501-Weekday-1-JA2025-0001000,20250320,1
hjat2501-Weekday-1-JA2025-0001000,20250327,1
hjat2501-Weekday-1-JA2025-0001000,20250403,1
hjat2501-Weekday-1-JA2025-0001000,20250410,1
hjat2501-Weekday-1-JA2025-0001000,20250417,1
hjat2501-Weekday-1-JA2025-0001000,20250424,1
hjat2501-Weekday-1-JA2025-0001000,20250501,1
hjat2501-Weekday-1-JA2025-0001000,20250508,1
hjat2501-Weekday-1-JA2025-0001000,20250515,1
hjat2501-Weekday-1-JA2025-0001000,20250522,1
hjat2501-Weekday-1-JA2025-0001000,20250529,1
hjat2501-Weekday-1-JA2025-0001000,20250605,1
hjat2501-Weekday-1-JA2025-0001000,20250612,1
